ingestion_id,source_id,access_date,status,records_added,target_file,method,provenance_note
ING_LOC_JB_001,LOC_NATIONAL_JUKEBOX,2026-09-06,ingested,10,data/cultural_archive_loc_music_seed.csv,LOC JSON item metadata cross-checked against item pages,Concrete recording observations; item URLs/IDs retained in record_id
ING_LOC_JB_002,LOC_NATIONAL_JUKEBOX,2026-09-06,ingested,12,data/cultural_archive_loc_music_seed.csv,LOC item pages cross-checked,Concrete recording observations spanning 1907 and 1915; titles locations contributors and genres retained in notes
ING_LOC_JB_COV_001,LOC_NATIONAL_JUKEBOX,2026-09-06,ingested,38,data/cultural_archive_loc_music_coverage.csv,LOC browse-all-recordings facets,Annual archive counts for 1900-1925 plus current label and genre facet counts; these describe surviving/represented archive records rather than production totals
ING_MUSICBRAINZ_001,MUSICBRAINZ,2026-09-06,source_verified,0,,API and bulk dump availability verified,Awaiting bulk/API harvest; no values fabricated
ING_DISCOGS_001,DISCOGS,2026-09-06,source_registered,0,,Source/data access registered,No records fabricated pending compliant data acquisition
ING_NYPL_001,NYPL_DIGITAL_COLLECTIONS,2026-09-06,source_registered,0,,API structure and machine-readable scale verified,Current API requires authentication and is being deprecated; retain source for future compliant harvesting
ING_NYPL_MENU_001,NYPL_MENUS,2026-09-06,source_registered,0,,Collection registered,Menu records should be harvested with item identifiers and prices preserved as nominal observations
ING_CIA_001,CIA_CRESt,2026-09-06,source_registered,0,,Archive registered,Intelligence documents must be represented as observations of reporting/attention unless independently corroborated
ING_GLASGOW_001,GLASGOW_CITY_ARCHIVES,2026-09-06,source_registered,0,,Catalogue registered,Prioritise digitised maps plans photographs directories and address-linked records
ING_SI_001,SMITHSONIAN_OPEN_ACCESS,2026-09-06,source_registered,0,,Open API/GitHub access verified,Strong candidate for large-scale object/place/specimen layer
ING_DPLA_001,DPLA,2026-09-06,source_registered,0,,API and bulk download availability verified,Aggregator metadata can widen geographic/cultural coverage but underlying rights remain item-specific
ING_TNA_001,NATIONAL_ARCHIVES_DISCOVERY,2026-09-06,source_registered,0,,Discovery API availability verified,API access requires contact and has stated rate/storage constraints
ING_IA_001,INTERNET_ARCHIVE,2026-09-06,source_registered,0,,Developer API registered,Mixed rights require item-level provenance and rights handling
ING_BL_001,BRITISH_LIBRARY_DIGITAL,2026-09-06,source_registered,0,,Collection registered,Harvest collection-specific machine-readable datasets where available
ING_EUROPEANA_001,EUROPEANA,2026-09-06,source_registered,0,,API registered,API access and item-level rights need preserving
ING_CA_001,CHRONICLING_AMERICA,2026-09-06,source_registered,0,,Existing newspaper source expanded in unified register,Use article/page text for historical attention themes and named-place extraction
