observation_id,source_id,observation_type,geography,time_start,time_end,metric,value_numeric,unit,value_text,evidence_url,evidence_date,evidence_type,confidence,caveat
CAO_NYPL_001,NYPL_DIGITAL_COLLECTIONS,collection_scale,Global,2026,2026,machine_readable_objects_and_records,1000000,records,NYPL states that significant portions of its digitised collections provide more than one million objects and records for machine-readable search and computation,https://api.repo.nypl.org/api_documentation_v1,2026-09-06,documented_collection_scale,high,Scale statement describes accessible machine-readable material rather than every NYPL holding
CAO_NYPL_MENU_001,NYPL_WHATS_ON_MENU,archive_type,New York and US,1850,1980,menu_archive,1,collection,Historical restaurant menus with dishes prices establishments and transcription data are available for structured extraction,https://menus.nypl.org/,2026-09-06,archive_metadata,high,Temporal coverage varies by menu and collection; individual rights must be checked
CAO_CIA_001,CIA_CREST,collection_scale,Global,1940,1990,documents,930000,documents,CIA reported approximately 930000 declassified CREST documents online,https://www.cia.gov/stories/story/cia-posts-more-than-12-million-pages-of-crest-records-online,2026-09-06,official_collection_statement,high,Reported collection scale at 2017 publication and collection continues to change
CAO_CIA_002,CIA_CREST,collection_scale,Global,1940,1990,pages,12000000,pages,CIA reported more than 12 million pages in the online CREST collection,https://www.cia.gov/stories/story/cia-posts-more-than-12-million-pages-of-crest-records-online,2026-09-06,official_collection_statement,high,Reported as more than 12 million pages; not a complete count of all historical CIA records
CAO_GLASGOW_001,GLASGOW_CITY_ARCHIVES,collection_scale,Glasgow,1885,2006,architectural_drawing_sets,150000,sets,Glasgow City Archives holds more than 150000 sets of architectural drawings,https://www.glasgowlife.org.uk/libraries/city-archives/archive-collections,2026-09-06,official_archive_statement,high,Collection includes Glasgow and surrounding/annexed areas and digitisation is uneven
CAO_GLASGOW_002,GLASGOW_CITY_ARCHIVES,collection_scale,Glasgow,1574,2026,poor_relief_applications,1000000,applications,The archive states it holds more than one million applications for poor relief,https://www.glasgowlife.org.uk/libraries/city-archives/archive-collections,2026-09-06,official_archive_statement,high,Surviving records and access do not represent every application made
CAO_GLASGOW_003,GLASGOW_CITY_ARCHIVES,temporal_anchor,Glasgow,1574,2026,council_minutes,1574,year_start,Glasgow Corporation archival holdings include council minutes dating from 1574,https://www.glasgowlife.org.uk/libraries/city-archives/archive-collections,2026-09-06,official_archive_statement,high,The value is the earliest stated date, not a count
CAO_GLASGOW_004,GLASGOW_CITY_ARCHIVES,collection_scale,Glasgow,1574,2026,city_school_archives,300,schools,School archives include log books and admission registers for more than 300 city schools,https://www.glasgowlife.org.uk/libraries/city-archives/archive-collections,2026-09-06,official_archive_statement,high,School coverage varies by institution and survival
CAO_LOC_JUKEBOX_001,LOC_NATIONAL_JUKEBOX,collection_scale,United States,1900,1925,recordings,18566,recordings,Library of Congress National Jukebox browse page currently lists 18566 audio recordings,https://www.loc.gov/collections/national-jukebox/about-this-collection/browse-all-recordings/,2026-09-06,official_catalogue_facet,high,Current catalogue count may change and includes holdings from multiple repositories
CAO_LOC_JUKEBOX_002,LOC_NATIONAL_JUKEBOX,downloadable_seed_scale,United States,1900,1922,recordings,5882,recordings,Library of Congress Data for Exploration provides metadata and audio for 5882 National Jukebox recordings dated 1900-1922,https://data.labs.loc.gov/jukebox/,2026-09-06,official_data_package,high,This is a scoped rights-cleared package rather than the complete Jukebox
CAO_LOC_JUKEBOX_003,LOC_NATIONAL_JUKEBOX,cultural_category,United States,1900,1922,genre_groups,1,observed,The downloadable Jukebox package includes popular music classical music opera jazz musical theater spoken word and other categories,https://data.labs.loc.gov/jukebox/README.html,2026-09-06,official_dataset_description,high,Genre assignment is cataloguer-derived and categories overlap conceptually
CAO_DISCOGS_001,DISCOGS,metadata_structure,Global,1900,2026,release_entity_fields,1,structured,Discogs release records expose titles dates formats tracklists identifiers credits artists labels and related release/version information,https://support.discogs.com/hc/en-us/articles/360003622014-How-To-Browse-Search-In-The-Database,2026-09-06,official_database_documentation,high,Discogs terms and restricted-data rules apply; this row records schema availability not a release count
CAO_DISCOGS_002,DISCOGS,metadata_structure,Global,1900,2026,artist_relationship_fields,1,structured,Discogs supports aliases artist-name variations groups credits and artist-to-release relationships,https://support.discogs.com/hc/en-us/articles/360005054753-Database-Guidelines-2-Artist,2026-09-06,official_database_documentation,high,Community-entered metadata requires provenance and confidence handling
CAO_MUSICBRAINZ_001,MUSICBRAINZ,metadata_structure,Global,1900,2026,core_entity_types,13,entity_types,MusicBrainz API exposes area artist event genre instrument label place recording release release-group series work and URL resources,https://musicbrainz.org/doc/MusicBrainz_API,2026-09-06,official_api_documentation,high,This is a schema count rather than a count of records
CAO_MUSICBRAINZ_002,MUSICBRAINZ,update_frequency,Global,2026,2026,database_snapshots,2,per_week,MusicBrainz states complete database snapshots are generated twice a week,https://musicbrainz.org/doc/MusicBrainz_Database/Download,2026-09-06,official_dataset_documentation,high,Frequency can change
CAO_MUSICBRAINZ_003,MUSICBRAINZ,license,Global,2026,2026,core_database_license,1,CC0,MusicBrainz core database dumps are distributed under CC0; supplementary dumps have additional licenses,https://musicbrainz.org/doc/MusicBrainz_Database/Download,2026-09-06,official_license_statement,high,License differs by dump component
CAO_BL_SOUND_001,BRITISH_LIBRARY_SOUND,collection_scale,United Kingdom and global,1890,2026,sound_archive_catalogue_facet,366,collections,The British Library interim Sound Archive catalogue currently exposes 366 results in its Sound Archive collection-area facet,https://searcharchives.bl.uk/?f%5Bcollection_area_ssi%5D%5B%5D=Sound+Archive,2026-09-06,catalogue_search_result,medium,This is a current catalogue search facet during service recovery and is not a total holding count
CAO_EUROPEANA_001,EUROPEANA_CULTURAL,network_scale,Europe,1500,2026,contributing_institutions,1000,institutions,Europeana describes its APIs as providing cultural heritage data from thousands of institutions across Europe,https://www.europeana.eu/en/apis,2026-09-06,official_service_description,medium,1000 is a conservative lower-bound proxy for wording thousands and is not an exact current count
CAO_DPLA_001,DPLA,metadata_structure,United States,1500,2026,resource_types,2,resource_types,DPLA API exposes item and collection resources and supports temporal and spatial searching and faceting,https://pro.dp.la/developers/requests,2026-09-06,official_api_documentation,high,API requires an access key and provider metadata varies
CAO_IA_001,INTERNET_ARCHIVE,metadata_structure,Global,1990,2026,archive_resource_classes,1,platform,Internet Archive provides machine-readable metadata and programmatic access across books texts audio video software and web archives,https://archive.org/developers,2026-09-06,service_documentation,high,Exact collection sizes change continuously and rights vary by item
CAO_HATHI_001,HATHITRUST,metadata_structure,Global,1500,2026,bibliographic_metadata,1,structured,HathiTrust provides bibliographic records and MARC metadata through its bibliographic services,https://catalog.hathitrust.org/api/volumes/,2026-09-06,api_documentation,medium,Service access and full-text availability vary by rights and identifier
CAO_UKNA_001,UK_NATIONAL_ARCHIVES_DISCOVERY,collection_scale,United Kingdom and global,1000,2026,record_descriptions,37000000,descriptions,The National Archives states Discovery holds more than 37 million descriptions from The National Archives and more than 2500 archives and institutions,https://www.nationalarchives.gov.uk/terms-and-conditions/discovery-for-developers-about-the-application-programming-interface-api/,2026-09-06,official_catalogue_statement,high,Descriptions are catalogue metadata and do not imply digitised full-text access
