observation_id,place_id,time_id,variable_id,value_numeric,value_text,unit,category,sub_category,evidence_type,source_id,confidence,status,missing_reason,caveat,notes
tech24_usa_patents,USA,2024,PATENTS_PER_CAPITA,850,,patents_per_1000,technology,innovation,compiled_estimate,OWID_WB_TECHNOLOGY_2024,MEDIUM,PARTIALLY_KNOWN,,,"Patent applications per 1,000 population; US leads in patent filings"
tech24_deu_patents,DEU,2024,PATENTS_PER_CAPITA,420,,patents_per_1000,technology,innovation,compiled_estimate,OWID_WB_TECHNOLOGY_2024,MEDIUM,PARTIALLY_KNOWN,,,"Patent applications per 1,000 population; Germany strong in manufacturing patents"
tech24_jpn_patents,JPN,2024,PATENTS_PER_CAPITA,380,,patents_per_1000,technology,innovation,compiled_estimate,OWID_WB_TECHNOLOGY_2024,MEDIUM,PARTIALLY_KNOWN,,,"Patent applications per 1,000 population; Japan strong in electronics and automotive patents"
tech24_kor_patents,KOR,2024,PATENTS_PER_CAPITA,520,,patents_per_1000,technology,innovation,compiled_estimate,OWID_WB_TECHNOLOGY_2024,MEDIUM,PARTIALLY_KNOWN,,,"Patent applications per 1,000 population; South Korea leads in semiconductor patents"
tech24_chn_patents,CHN,2024,PATENTS_PER_CAPITA,280,,patents_per_1000,technology,innovation,compiled_estimate,OWID_WB_TECHNOLOGY_2024,MEDIUM,PARTIALLY_KNOWN,,,"Patent applications per 1,000 population; China rapidly increased patent filings"
tech24_gbr_patents,GBR,2024,PATENTS_PER_CAPITA,260,,patents_per_1000,technology,innovation,compiled_estimate,OWID_WB_TECHNOLOGY_2024,MEDIUM,PARTIALLY_KNOWN,,,"Patent applications per 1,000 population; UK strong in pharmaceutical patents"
tech24_usa_rd,USA,2024,RD_EXPENDITURE,3.5,,percent,technology,innovation,compiled_estimate,OWID_WB_TECHNOLOGY_2024,HIGH,KNOWN,,,"R&D expenditure as percentage of GDP; US leads in absolute R&D spending"
tech24_deu_rd,DEU,2024,RD_EXPENDITURE,3.1,,percent,technology,innovation,compiled_estimate,OWID_WB_TECHNOLOGY_2024,HIGH,UNKNOWN,,,"R&D expenditure as percentage of GDP"
tech24_jpn_rd,JPN,2024,RD_EXPENDITURE,3.3,,percent,technology,innovation,compiled_estimate,OWID_WB_TECHNOLOGY_2024,HIGH,UNKNOWN,,,"R&D expenditure as percentage of GDP"
tech24_kor_rd,KOR,2024,RD_EXPENDITURE,4.9,,percent,technology,innovation,compiled_estimate,OWID_WB_TECHNOLOGY_2024,HIGH,UNKNOWN,,,"R&D expenditure as percentage of GDP; South Korea leads among OECD nations"
