observation_id,place_id,time_id,variable_id,value_numeric,value_text,unit,category,sub_category,evidence_type,source_id,confidence,status,missing_reason,caveat,notes
agri24_usa_prod,USA,2024,AGRICULTURE_PRODUCTION_INDEX,105.2,,index,agriculture,production,compiled_estimate,OWID_WB_AGRICULTURE_2024,MEDIUM,PARTIALLY_KNOWN,,,"Agricultural production index (2004-2006 = 100); US is major agricultural producer"
agri24_deu_prod,DEU,2024,AGRICULTURE_PRODUCTION_INDEX,92.5,,index,agriculture,production,compiled_estimate,OWID_WB_AGRICULTURE_2024,MEDIUM,PARTIALLY_KNOWN,,,"Agricultural production index (2004-2006 = 100); Germany moderate production"
agri24_ind_prod,IND,2024,AGRICULTURE_PRODUCTION_INDEX,128.3,,index,agriculture,production,compiled_estimate,OWID_WB_AGRICULTURE_2024,MEDIUM,PARTIALLY_KNOWN,,,"Agricultural production index (2004-2006 = 100); India grown significantly"
agri24_bra_prod,BRA,2024,AGRICULTURE_PRODUCTION_INDEX,142.8,,index,agriculture,production,compiled_estimate,OWID_WB_AGRICULTURE_2024,MEDIUM,PARTIALLY_KNOWN,,,"Agricultural production index (2004-2006 = 100); Brazil major exporter"
agri24_chn_prod,CHN,2024,AGRICULTURE_PRODUCTION_INDEX,155.6,,index,agriculture,production,compiled_estimate,OWID_WB_AGRICULTURE_2024,MEDIUM,PARTIALLY_KNOWN,,,"Agricultural production index (2004-2006 = 100); China largest producer"
agri24_usa_food_exp,USA,2024,FOOD_EXPOSURE,3400,,kilocalories_per_person_per_day,agriculture,food,compiled_estimate,OWID_WB_AGRICULTURE_2024,MEDIUM,PARTIALLY_KNOWN,,,"Available food supply per capita per day; US high caloric availability"
agri24_deu_food_exp,DEU,2024,FOOD_EXPOSURE,3250,,kilocalories_per_person_per_day,agriculture,food,compiled_estimate,OWID_WB_AGRICULTURE_2024,MEDIUM,PARTIALLY_KNOWN,,,"Available food supply per capita per day; Germany high caloric availability"
agri24_ind_food_exp,IND,2024,FOOD_EXPOSURE,2450,,kilocalories_per_person_per_day,agriculture,food,compiled_estimate,OWID_WB_AGRICULTURE_2024,MEDIUM,PARTIALLY_KNOWN,,,"Available food supply per capita per day; India lower with regional variation"
agri24_bra_food_exp,BRA,2024,FOOD_EXPOSURE,3100,,kilocalories_per_person_per_day,agriculture,food,compiled_estimate,OWID_WB_AGRICULTURE_2024,MEDIUM,PARTIALLY_KNOWN,,,"Available food supply per capita per day; Brazil moderate caloric availability"
agri24_chn_food_exp,CHN,2024,FOOD_EXPOSURE,3050,,kilocalories_per_person_per_day,agriculture,food,compiled_estimate,OWID_WB_AGRICULTURE_2024,MEDIUM,PARTIALLY_KNOWN,,,"Available food supply per capita per day; China moderate caloric availability"
agri24_usa_food_imp,USA,2024,FOOD_IMPORT_SHARE,15.0,,percent,agriculture,food,compiled_estimate,OWID_WB_AGRICULTURE_2024,MEDIUM,PARTIALLY_KNOWN,,,"Food import share; US largely self-sufficient"
agri24_jpn_food_imp,JPN,2024,FOOD_IMPORT_SHARE,60.0,,percent,agriculture,food,compiled_estimate,OWID_WB_AGRICULTURE_2024,MEDIUM,PARTIALLY_KNOWN,,,"Food import share; Japan relies heavily on imports due to limited arable land"
agri24_deu_food_imp,DEU,2024,FOOD_IMPORT_SHARE,25.0,,percent,agriculture,food,compiled_estimate,OWID_WB_AGRICULTURE_2024,MEDIUM,PARTIALLY_KNOWN,,,"Food import share; Germany imports some food products"
agri24_ind_food_imp,IND,2024,FOOD_IMPORT_SHARE,10.0,,percent,agriculture,food,compiled_estimate,OWID_WB_AGRICULTURE_2024,MEDIUM,PARTIALLY_KNOWN,,,"Food import share; India largely self-sufficient but imports certain commodities"
