source_id,publisher,dataset_name,url,access_date,geographic_coverage,temporal_coverage,content_type,access_method,rights_or_license,known_biases_or_gaps,planned_use
NYPL_DIGITAL_COLLECTIONS,New York Public Library,Digital Collections,https://digitalcollections.nypl.org/,2026-09-06,Global with strong New York and US holdings,medieval-present depending collection,Digitised books photographs maps manuscripts ephemera audio video and metadata,Collections API / IIIF / catalogue metadata,Item-specific rights; public-domain filtering available,Collection survival and digitisation selection; rights vary,Extract people places dates subjects visual culture and archival attention
NYPL_WHATS_ON_MENU,New York Public Library,Whats on the Menu historical menus,https://menus.nypl.org/,2026-09-06,Primarily US with strong New York coverage,1850s-1980s depending menu,Historical restaurant menus transcriptions prices dishes establishments,Public digital collection and transcription data,Item-specific rights; verify before redistribution,Surviving-menu and restaurant selection; OCR/transcription uncertainty,Food prices ingredients restaurant geography social class and cultural diffusion
CIA_CREST,CIA,CREST / Electronic Reading Room declassified records,https://www.cia.gov/readingroom/collection/crest-25-year-program-archive,2026-09-06,Global,1940s-1990s strongest coverage,Declassified intelligence reports memoranda imagery scientific and economic material,Full-text search and document pages,US government release subject to applicable public-use terms,Selection and declassification bias; intelligence attention is not ground truth,Track institutional attention geopolitical concerns technology conflict economics and terminology
GLASGOW_CITY_ARCHIVES,Glasgow Life,City Archives and archive collections,https://www.glasgowlife.org.uk/libraries/city-archives/archive-collections,2026-09-06,Glasgow and West of Scotland,12th-21st centuries,Local government family school poor-law housing transport health planning architectural and civic records,Catalogue and digitised collections where available,Item-specific archive terms,Survival/access bias and uneven digitisation,Urban change buildings institutions poverty education transport health and civic life
LOC_NATIONAL_JUKEBOX,Library of Congress,National Jukebox,https://www.loc.gov/collections/national-jukebox/,2026-09-06,US with international repertoire,1900s-1920s core coverage with later catalogue items,Digitised audio recordings and metadata,LOC JSON/YAML API and downloadable data package,Item-specific rights; selected 1900-1922 package is rights-cleared/public-domain based on metadata,Collection and label survival bias; catalogue classifications reflect curatorial practice,Music production genre language geography performers composers and cultural diffusion
DISCOGS,Discogs,Discogs Database,https://www.discogs.com/,2026-09-06,Global,20th-21st centuries strongest coverage,Artist label release pressing format country genre credit identifier and version metadata,Public site and API/data access subject to Discogs terms,Database terms and attribution requirements; restricted user/marketplace data excluded,Release geography labels formats reissues aliases collaborations and cultural reach
MUSICBRAINZ,MusicBrainz,MusicBrainz Database and API,https://musicbrainz.org/,2026-09-06,Global,Historical to present,Artists releases recordings works labels events places relationships tags and edit history,API and twice-weekly database dumps,Core database CC0; supplementary datasets have additional CC licenses,Community metadata coverage and tagging bias,Music relational graph cultural diffusion collaboration and persistence
BRITISH_LIBRARY_SOUND,The British Library,Sound Archive and archives catalogue,https://searcharchives.bl.uk/,2026-09-06,UK and global,1890s-present depending collection,Sound recordings interviews theatre natural sounds music manuscripts and associated metadata,Catalogue search and BL Sounds where available,Item-specific rights; catalogue text generally CC-BY except where stated,Digitisation incomplete and current catalogue recovery limitations,Language ecology oral history music theatre environment and social memory
EUROPEANA_CULTURAL,Europeana,Europeana cultural heritage APIs,https://www.europeana.eu/en/apis,2026-09-06,Europe,ancient-present depending item,Aggregated cultural heritage metadata images books newspapers audio video and 3D,Search and Record APIs with key,Item/provider rights and Europeana licensing metadata rules,Provider selection and digitisation/OCR differences,Cross-European cultural geography objects language themes and institutional memory
DPLA,Digital Public Library of America,DPLA metadata and collections,https://pro.dp.la/developers/api-basics,2026-09-06,United States,Historical-present,Aggregated item and collection metadata from US institutions,REST API with key,Provider-specific rights and DPLA terms,Partner selection and metadata heterogeneity,US cultural heritage geography institutions people subjects and chronology
INTERNET_ARCHIVE,Internet Archive,Internet Archive metadata and collections,https://archive.org/developers,2026-09-06,Global,Ancient-publication-present web archives,Books texts audio video software web archives and metadata,Metadata/API services and collection downloads,Item-level rights and collection-specific licenses,Preservation selection and duplicate/derived material,Long-run cultural technological and web-history traces
HATHITRUST,HathiTrust,HathiTrust Bibliographic and Research Center data,https://www.hathitrust.org/,2026-09-06,Global with strong North American research-library coverage,Historical-present,Digitised books bibliographic records MARC metadata and research text, Bibliographic API and research services,Access depends on work rights and service terms,Library acquisition and digitisation bias; copyright limits text access,Publication history concepts authorship language subjects and institutional attention
UK_NATIONAL_ARCHIVES_DISCOVERY,The National Archives UK,Discovery catalogue API,https://discovery.nationalarchives.gov.uk/API,2026-09-06,UK and international records held by UK archives,medieval-present,Archival descriptions record creators hierarchy and digitised/born-digital references,Open API access subject to service terms,Catalogue description is not full-text record content; API access may require contact,Government administration war trade people places and institutional memory
US_NATIONAL_ARCHIVES_CATALOG,NARA,National Archives Catalog API,https://www.archives.gov/research/catalog/help/api,2026-09-06,United States and US federal activity worldwide,1770s-present,Archival descriptions authority records digital objects OCR tags transcriptions and comments,API with key plus bulk public dataset,US government public data terms; API rate limits,Archival selection and cataloguing bias,Government policy military migration science culture people and geography
CHRONICLING_AMERICA,Library of Congress / NEH,Chronicling America Historic American Newspapers,https://www.loc.gov/collections/chronicling-america/,2026-09-06,US states territories Puerto Rico and US Virgin Islands,1777-1963,Digitised newspaper pages OCR and structured page services,LOC APIs and collection downloads,Public-domain/collection-specific rights,Surviving-title selection and OCR errors,Daily local themes elections crime labour migration weather advertising and culture
