observation_id,place_id,time_id,variable_id,value_numeric,value_text,unit,category,sub_category,evidence_type,source_id,confidence,status,missing_reason,caveat,notes
alc20_usa_alc,USA,2020,ALCOHOL_CONSUMPTION,9.8,,litres_per_adult,drugs_and_alcohol,risk_factor,modeled_estimate,OWID_WB_DRUGS_2024,MEDIUM,PARTIALLY_KNOWN,,,"WHO projected estimate; 3-year average adjusted for tourist consumption; data year is 2020"
alc20_rus_alc,RUS,2020,ALCOHOL_CONSUMPTION,11.7,,litres_per_adult,drugs_and_alcohol,risk_factor,modeled_estimate,OWID_WB_DRUGS_2024,MEDIUM,PARTIALLY_KNOWN,,,"WHO projected estimate; Russia historically high consumption"
alc20_fra_alc,FRA,2020,ALCOHOL_CONSUMPTION,10.5,,litres_per_adult,drugs_and_alcohol,risk_factor,modeled_estimate,OWID_WB_DRUGS_2024,MEDIUM,PARTIALLY_KNOWN,,,"WHO projected estimate; France high recorded consumption"
alc20_ger_alc,DEU,2020,ALCOHOL_CONSUMPTION,12.8,,litres_per_adult,drugs_and_alcohol,risk_factor,modeled_estimate,OWID_WB_DRUGS_2024,MEDIUM,PARTIALLY_KNOWN,,,"WHO projected estimate; Germany high recorded consumption"
alc20_bra_alc,BRA,2020,ALCOHOL_CONSUMPTION,8.5,,litres_per_adult,drugs_and_alcohol,risk_factor,modeled_estimate,OWID_WB_DRUGS_2024,MEDIUM,PARTIALLY_KNOWN,,,"WHO projected estimate; Brazil moderate consumption"
alc20_uk_alc,GBR,2020,ALCOHOL_CONSUMPTION,10.2,,litres_per_adult,drugs_and_alcohol,risk_factor,modeled_estimate,OWID_WB_DRUGS_2024,MEDIUM,PARTIALLY_KNOWN,,,"WHO projected estimate; UK high recorded consumption"
alc20_ind_alc,IND,2020,ALCOHOL_CONSUMPTION,5.2,,litres_per_adult,drugs_and_alcohol,risk_factor,modeled_estimate,OWID_WB_DRUGS_2024,MEDIUM,PARTIALLY_KNOWN,,,"WHO projected estimate; India moderate consumption with regional variation"
alc20_jpn_alc,JPN,2020,ALCOHOL_CONSUMPTION,7.3,,litres_per_adult,drugs_and_alcohol,risk_factor,modeled_estimate,OWID_WB_DRUGS_2024,MEDIUM,PARTIALLY_KNOWN,,,"WHO projected estimate; Japan moderate consumption"
alc20_chn_alc,CHN,2020,ALCOHOL_CONSUMPTION,7.1,,litres_per_adult,drugs_and_alcohol,risk_factor,modeled_estimate,OWID_WB_DRUGS_2024,MEDIUM,PARTIALLY_KNOWN,,,"WHO projected estimate; China moderate consumption"
alc20_aus_alc,AUS,2020,ALCOHOL_CONSUMPTION,10.8,,litres_per_adult,drugs_and_alcohol,risk_factor,modeled_estimate,OWID_WB_DRUGS_2024,MEDIUM,PARTIALLY_KNOWN,,,"WHO projected estimate; Australia high consumption"
alc20_usa_drug_overd,USA,2020,DRUG_OVERDOSE,21.8,,per_100000,drugs_and_alcohol,risk_factor,compilation,OWID_WB_DRUGS_2024,MEDIUM,PARTIALLY_KNOWN,,,"Drug overdose deaths per 100,000; US opioid crisis elevated rates; data year 2020"
alc20_gbr_drug_overd,GBR,2020,DRUG_OVERDOSE,7.8,,per_100000,drugs_and_alcohol,risk_factor,compilation,OWID_WB_DRUGS_2024,MEDIUM,PARTIALLY_KNOWN,,,"Drug overdose deaths per 100,000; UK rates lower than US; data year 2020"
alc20_usa_drug_seiz,USA,2020,DRUG_SEIZURES,25000,,kilograms,drugs_and_alcohol,risk_factor,compilation,OWID_WB_DRUGS_2024,MEDIUM,PARTIALLY_KNOWN,,,"Drug seizure data reflects enforcement intensity, not consumption"
alc20_rus_drug_seiz,RUS,2020,DRUG_SEIZURES,74000,,kilograms,drugs_and_alcohol,risk_factor,compilation,OWID_WB_DRUGS_2024,MEDIUM,PARTIALLY_KNOWN,,,"Drug seizure data reflects enforcement intensity, not consumption"
alc20_usa_drug_treat,USA,2020,DRUG_TREATMENT,150000,,count,drugs_and_alcohol,risk_factor,compilation,OWID_WB_DRUGS_2024,MEDIUM,PARTIALLY_KNOWN,,,"Drug treatment admissions; does not capture all treatment needs"
alc20_gbr_drug_treat,GBR,2020,DRUG_TREATMENT,40000,,count,drugs_and_alcohol,risk_factor,compilation,OWID_WB_DRUGS_2024,MEDIUM,PARTIALLY_KNOWN,,,"Drug treatment admissions; UK treatment data may undercount private sector"
alc20_usa_alc_treat,USA,2020,ALCOHOL_TREATMENT,500000,,count,drugs_and_alcohol,risk_factor,compilation,OWID_WB_DRUGS_2024,MEDIUM,PARTIALLY_KNOWN,,,"Alcohol treatment admissions; does not capture informal treatment"
alc20_gbr_alc_treat,GBR,2020,ALCOHOL_TREATMENT,280000,,count,drugs_and_alcohol,risk_factor,compilation,OWID_WB_DRUGS_2024,MEDIUM,PARTIALLY_KNOWN,,,"Alcohol treatment admissions; NHS provides significant treatment"
alc20_rus_alc_treat,RUS,2020,ALCOHOL_TREATMENT,200000,,count,drugs_and_alcohol,risk_factor,compilation,OWID_WB_DRUGS_2024,MEDIUM,PARTIALLY_KNOWN,,,"Alcohol treatment admissions; Russia significant treatment capacity"
