priority,source_id,source_url,record_scope,earliest_year,latest_year,geography,granularity,target_file,ingestion_mode,join_keys,status,blocking_note
1,NYPL_DIGITAL_COLLECTIONS,https://digitalcollections.nypl.org/,All machine-readable collection metadata and rights-safe public-domain items,1000,2026,Global with strong US/New York coverage,item/capture,data/cultural_archive_observations.csv,API plus IIIF metadata,place_id time_id person_id topic_id,ready,Current NYPL collections API should be used; legacy Repo API is deprecated
1,NYPL_WHATS_ON_MENU,https://menus.nypl.org/,Menu records transcriptions dishes prices establishments,1850,2000,US and New York strong coverage,menu/item,data/cultural_food_observations.csv,collection export or web extraction,place_id time_id food_id establishment_id,queued,Respect item-level rights and transcription provenance
1,CIA_CREST,https://www.cia.gov/readingroom/collection/crest-25-year-program-archive,Declassified reports and searchable document metadata,1940,1990,Global,document/page,data/cultural_archive_observations.csv,search API/page extraction,place_id time_id topic_id document_id,queued,Model institutional attention separately from asserted real-world events
1,GLASGOW_CITY_ARCHIVES,https://www.glasgowlife.org.uk/libraries/city-archives/archive-collections,Architectural plans council records schools poor-law housing transport health and civic records,1200,2026,Glasgow and West Scotland,record/building/person,data/glasgow_archive_observations.csv,catalogue plus digitised records,place_id time_id building_id person_id institution_id,queued,Digitisation is uneven and many records require catalogue or onsite access
1,LOC_NATIONAL_JUKEBOX,https://www.loc.gov/collections/national-jukebox/,Recording metadata plus rights-cleared audio package,1900,1925,US and recorded repertoire,recording,data/music_recording_observations.csv,LOC JSON API plus downloadable package,place_id time_id artist_id label_id genre_id,ready,Use metadata package for reproducible seed; rights differ outside scoped public-domain subset
1,DISCOGS,https://www.discogs.com/,Artists labels releases pressings credits formats identifiers and relationships,1900,2026,Global,release/artist/label,data/music_release_observations.csv,official API or database data where permitted,place_id time_id artist_id label_id release_id,queued,Do not ingest restricted user or marketplace data; retain Discogs attribution/terms
1,MUSICBRAINZ,https://musicbrainz.org/,Core artists releases recordings works labels events places relationships plus optional history/tags,1900,2026,Global,entity/relationship,data/music_relationships.csv,database dump plus replication,artist_id release_id recording_id place_id time_id,ready,Core dump CC0; supplementary dumps have different licenses
1,BRITISH_LIBRARY_SOUND,https://searcharchives.bl.uk/,Sound archive catalogue and digitised sound metadata,1890,2026,UK and global,recording/archive,data/sound_archive_observations.csv,catalogue search/API where available,place_id time_id person_id collection_id,queued,Current catalogue is interim during service recovery
1,EUROPEANA_CULTURAL,https://www.europeana.eu/en/apis,Aggregated cultural heritage metadata and media references,1000,2026,Europe,object/item,data/cultural_archive_observations.csv,Europeana Search and Record APIs,place_id time_id person_id topic_id institution_id,blocked,Requires free Europeana API key
1,DPLA,https://pro.dp.la/developers/api-basics,US cultural heritage item and collection metadata,1500,2026,US,item/collection,data/cultural_archive_observations.csv,DPLA API,place_id time_id institution_id person_id topic_id,blocked,Requires DPLA API key
1,INTERNET_ARCHIVE,https://archive.org/developers,Books texts audio video software web archive and metadata,1000,2026,Global,item/file/data,data/digital_culture_observations.csv,metadata API and bulk collection downloads,place_id time_id creator_id collection_id,ready,Rights vary by item and collection; avoid indiscriminate duplication
1,HATHITRUST,https://www.hathitrust.org/,Bibliographic records MARC and research text where permitted,1500,2026,Global,book/volume,data/bibliographic_observations.csv,Bibliographic API and HTRC services,place_id time_id creator_id subject_id,blocked,Full-text services have authentication/rights constraints
1,UK_NATIONAL_ARCHIVES_DISCOVERY,https://discovery.nationalarchives.gov.uk/API,Catalogue descriptions and record creators,1100,2026,UK and international holdings,archive/series/item,data/uk_archive_observations.csv,Discovery API,place_id time_id creator_id record_id,blocked,API access requires contact/approval according to current terms
1,US_NATIONAL_ARCHIVES_CATALOG,https://www.archives.gov/research/catalog/help/api,Archival descriptions authority records digital object metadata OCR and contributions,1770,2026,US/global federal activity,record/object,data/us_archive_observations.csv,Catalog API or public bulk dataset,place_id time_id creator_id record_id,blocked,API key required; bulk dataset preferred for large extraction
1,CHRONICLING_AMERICA,https://www.loc.gov/collections/chronicling-america/,Historic newspaper pages OCR and structured metadata,1777,1963,US,issue/page/article,data/newspaper_daily_theme_observations.csv,LOC API and bulk metadata,place_id time_id publication_id theme_id,ready,Do not interpret newspaper attention as incidence without corroboration
