source_id,publisher,dataset_name,url,access_date,geographic_coverage,temporal_coverage,access_mode,license_or_rights,record_granularity,relevant_fields,known_limitations
LOC_NATIONAL_JUKEBOX,Library of Congress,National Jukebox,https://www.loc.gov/collections/national-jukebox/,2026-09-06,United States and recordings represented in collection,1901-present collection coverage,Public API and downloadable metadata dataset,Mixed rights; item-level rights must be preserved,Recording,recording date location title performer composer lyricist genre label matrix catalog number language,Collection selection and rights vary; recording location may be unconfirmed
LOC_API,Library of Congress,Library of Congress JSON/YAML API,https://www.loc.gov/apis/json-and-yaml/,2026-09-06,Global collection metadata with US emphasis,Varies by collection,Public API no key,Item-level rights statements apply,Digital object,dates places people subjects formats collections identifiers,API rate limits and deep paging limits
MUSICBRAINZ,MetaBrainz Foundation,MusicBrainz Database,https://musicbrainz.org/doc/MusicBrainz_Database/Download,2026-09-06,Global,Historical to present,Public API and bulk database dumps,Core database CC0; other dumps vary,Artist recording release label event place work,artists releases recordings genres labels places events relationships,Community-maintained and canonical identities can change between dumps
DISCOGS,Discogs,Discogs Database,https://www.discogs.com/data/,2026-09-06,Global,Historical to present,Public API and data dumps,Database licensing and API terms apply,Release artist label master format genre country year,release dates countries labels formats genres artists styles marketplace visibility,Community contribution and genre/style classification bias
NYPL_DIGITAL_COLLECTIONS,New York Public Library,Digital Collections,https://digitalcollections.nypl.org/,2026-09-06,Global with strong New York coverage,Historical to present,API requires authentication; public-domain filtering available,Item-specific rights,Digital object,captures dates places people subjects collections OCR rights,API retirement/deprecation and access changes; copyright varies
NYPL_MENUS,New York Public Library,Whats on the Menu,https://menus.nypl.org/,2026-09-06,United States and international menus,Historical menus mainly 19th-20th centuries,Searchable digital collection,Item-specific rights,Menu,restaurant date location dishes prices ingredients cuisine,Surviving menus are selective and prices are nominal unless normalized
CIA_CRESt,Central Intelligence Agency,CREST declassified records,https://www.cia.gov/readingroom/collection/crest-25-year-program-archive,2026-09-06,Global,Mostly 20th century,Online archive and document search,Mixed public-domain/declassified records with document-specific restrictions,Document,date place subject entities document type,Intelligence priorities and collection bias; declassified records are not neutral observations
GLASGOW_CITY_ARCHIVES,Glasgow Life,Glasgow City Archives,https://www.glasgowlife.org.uk/libraries/city-archives,2026-09-06,Glasgow Scotland,12th century-present,Online catalogue and digitised collections,Collection/item-specific rights,Archive record,address date organisation person building event,Digitisation is selective; catalogue descriptions are not full text
SMITHSONIAN_OPEN_ACCESS,Smithsonian Institution,Smithsonian Open Access,https://www.si.edu/openaccess,2026-09-06,Global collections,Historical to present,Public API and bulk JSON/GitHub data,CC0 for eligible open-access assets; other metadata/media vary,Object/person/place specimen/artifact,date creator place topic department medium,Open-access subset and metadata completeness vary
DPLA,Digital Public Library of America,DPLA API and bulk download,https://pro.dp.la/developers,2026-09-06,United States,Historical to present,Public API and bulk download,Permissive access to catalog records; underlying rights vary,Digital object,date place creator institution subject type,Aggregator inherits source selection and rights variation
NATIONAL_ARCHIVES_DISCOVERY,UK National Archives,Discovery catalogue,https://discovery.nationalarchives.gov.uk/,2026-09-06,UK and participating archives worldwide,Medieval-present,API/catalogue,Open Government Licence for catalogue content except stated exceptions,Catalogue record,record creator date place repository subject series,Catalogue descriptions generally not full document text; API access terms/rate limits apply
INTERNET_ARCHIVE,Internet Archive,Archive metadata and collections,https://archive.org/developers,2026-09-06,Global,Historical to present,Advanced Search API and metadata endpoints,Mixed item-level rights,Digital item,date creator collection language subject media type,Archive contents and rights vary greatly
BRITISH_LIBRARY_DIGITAL,British Library,Digital collections and sound archive,https://www.bl.uk/collection,2026-09-06,UK and global,Historical to present,Collection-specific APIs/datasets,Item-specific rights,Digital object,publication date creator place language subject medium,Access and machine-readable availability vary by collection
EUROPEANA,Europeana Foundation,Europeana API and collections,https://pro.europeana.eu/page/apis,2026-09-06,Europe,Ancient-present depending collection,API,Metadata generally reusable under Europeana terms; underlying objects vary,Digital object,date place creator institution subject type language,Aggregator selection and source-rights variation
CHRONICLING_AMERICA,Library of Congress / NEH,Chronicling America,https://www.loc.gov/collections/chronicling-america/,2026-09-06,United States territories,1777-1963,Public APIs and bulk data,Public-domain and item-specific conditions,Newspaper page/article,date publication place title page text subjects,OCR and surviving-title selection bias
WALS,Max Planck Institute for Evolutionary Anthropology,World Atlas of Language Structures Online,https://wals.info/,2026-09-06,Global language sample,Primarily synchronic reference data,Web and CC-BY dataset,CC BY 4.0,Language feature,phonology morphology syntax word order lexical and structural features,Finished project and feature coverage varies
GLOTTOLOG,Max Planck Institute for Evolutionary Anthropology,Glottolog 5.3,https://glottolog.org/,2026-09-06,Global languages dialects and families,Historical classification to present,Web and downloadable datasets,CC BY 4.0,Language/dialect/family,Glottocode genealogy bibliography macroarea alternative names,Classification is scholarly best judgement and can change
GOOGLE_NGRAM_MULTILINGUAL,Google Books,Google Books Ngram Viewer,https://books.google.com/ngrams/,2026-09-06,Multiple language corpora,1500-2022 depending corpus,Web charts and downloadable data,Google terms,Ngram time series,English Chinese French German Hebrew Italian Russian Spanish and other corpora; books are not speech or population incidence
