variable_id,domain,variable_name,definition,unit,preferred_frequency,sensitivity,causal_role,known_confounders,notes
EMPLOYMENT_RATE,employment,Employment rate,Share of the working-age population that is employed,percent,annual,low,outcome,labour-force definition survey methods informal work,Do not substitute job vacancies or advertised jobs
JOB_VACANCIES,employment,Job vacancies,Number of job vacancies per market,count,annual,low,context,hiring cycles labour turnover,Not equivalent to filled jobs
ADVERTISED_JOBS,employment,Advertised jobs,Number of jobs advertised publicly,count,annual,low,context,recruitment patterns,Not equivalent to filled jobs
HOUSING_STOCK,housing,Housing stock,Dwelling units counted as housing stock,units,decennial,low,context,definitions boundary changes,Not equivalent to occupied or available housing
OCCUPIED_HOUSING,housing,Occupied housing,Dwelling units occupied by households,units,decennial,low,context,census coverage vacancy rates,Not equivalent to available housing
AVAILABLE_HOUSING,housing,Available housing,Dwelling units available for habitation,units,decennial,low,context,census vacancy rates,Not equivalent to housing stock
CRIME_TOTAL,crime,Crime occurring,Estimated total criminal acts,incidents,annual,medium,context,survey coverage recording changes,Do not substitute reported or recorded crime
CRIME_REPORTED,crime,Reported crime,Criminal acts reported to authorities,incidents,annual,medium,context,reporting willingness,Not equivalent to crime occurring
CRIME_RECORDED,crime,Recorded crime,Criminal acts recorded by police or justice system,incidents,annual,medium,context,recording practices,Not equivalent to reported crime
ALCOHOL_CONSUMPTION,drugs_and_alcohol,Alcohol consumption per capita,Total pure alcohol consumption per adult,litres_per_adult,annual,medium,outcome,reporting differences cultural norms,Do not substitute consumption for alcohol-related harm or dependency
DRUG_OVERDOSE,drugs_and_alcohol,Drug overdose deaths per 100,000 population,per_100000,annual,high,outcome,drug definition reporting changes,Do not substitute seizures for consumption or treatment
DRUG_TREATMENT,drugs_and_alcohol,Drug treatment admissions,Number of people entering drug treatment per year,count,annual,low,context,reporting changes access barriers,Do not substitute consumption for treatment need
DRUG_SEIZURES,drugs_and_alcohol,Drug seizures,Quantity of illegal drugs seized by law enforcement,kilograms,annual,medium,context,enforcement intensity reporting changes,Do not substitute seizures for consumption or production
ALCOHOL_TREATMENT,drugs_and_alcohol,Alcohol treatment admissions,Number of people entering alcohol treatment per year,count,annual,low,context,reporting changes access barriers,Do not substitute alcohol consumption for treatment need
SCHOOL_ENROLLMENT_PRIMARY,education,Primary school enrollment rate,Share of eligible population enrolled in primary education,percent,annual,low,context,education system differences enrollment age,Do not substitute learning outcomes for enrollment
SCHOOL_ENROLLMENT_SECONDARY,education,Secondary school enrollment rate,Share of eligible population enrolled in secondary education,percent,annual,low,context,education system differences enrollment age,Do not substitute learning outcomes for enrollment
SCHOOL_ENROLLMENT_TERTIARY,education,Tertiary school enrollment rate,Share of eligible population enrolled in tertiary education,percent,annual,low,context,education system differences enrollment age,Do not substitute learning outcomes for enrollment
TEACHER_PUPIL_RATIO,education,Teacher-pupil ratio,Number of pupils per teacher in primary education,pupils_per_teacher,annual,low,context,school size urban rural,Do not substitute teacher quality for pupil ratio
LITERACY_RATE,education,Literacy rate,Share of population aged 15 and above that can read and write,percent,annual,low,context,definition of literacy,Do not substitute enrollment for literacy
UNEMPLOYMENT_YOUNG,education,Youth unemployment rate,Share of young people aged 15-24 without work but seeking employment,percent,annual,low,outcome,education system differences,Do not substitute adult unemployment for youth unemployment
AVERAGE_SALARY,careers,Average monthly salary,Average gross monthly salary in local currency,local_currency,annual,low,context,cost of living differences sector mix,Do not substitute salary for welfare or living standards
PATENTS_PER_CAPITA,technology,Patents per capita,Number of patent applications filed per 1,000 population,patents_per_1000,annual,low,context,patent law differences definitions,Do not substitute patents for innovation capacity
RD_EXPENDITURE,technology,R&D expenditure,Research and development expenditure as percentage of GDP,percent,annual,low,context,sector definitions,Do not substitute R&D expenditure for innovation output
INTERNET_USERS,technology,Internet users,Share of population using the internet,percent,annual,low,context,definition of internet use device access,Do not substitute internet availability for use
MOBILE_SUBSCRIPTIONS,technology,Mobile cellular subscriptions,Mobile cellular subscriptions per 100 people,subscriptions_per_100,annual,low,context,multiple subscriptions per person,Do not substitute mobile subscriptions for mobile users
DIGITAL_PAYMENT_USAGE,technology,Digital payment usage,Share of population using digital payment methods,percent,annual,low,context,banking infrastructure definitions,Do not substitute banking access for digital payment use
AGRICULTURE_PRODUCTION_INDEX,agriculture,Agricultural production index,Agricultural production index (2004-2006 = 100),index,annual,low,context,weather climate variability,Do not substitute food security for production index
FOOD_EXPOSURE,agriculture,Food exposure (calories per capita),Available food supply per capita per day,kilocalories_per_person_per_day,annual,low,context,food waste trade,Do not substitute food production for food consumption
FOOD_IMPORT_SHARE,agriculture,Food import share,Share of food supply that is imported,percent,annual,low,context,food self-sufficiency definitions,Do not substitute food imports for food insecurity
FERTILITY_RATE,population,Fertility rate,Births per 1,000 women of reproductive age,per_1000,annual,low,context,age structure definition of reproductive age,Do not substitute total births for fertility rate
AGEING_INDEX,population,Old-age dependency ratio,Ratio of population aged 65+ to population aged 15-64,ratio,annual,low,context,migration patterns retirement age,Do not substitute life expectancy for ageing index
POLITICAL_PARTY_COUNT,politics,Political party count,Number of political parties represented in the legislature,count,annual,low,context,party system fragmentation,Do not substitute party count for political diversity
GOVERNMENT_SPENDING,politics,Government spending as share of GDP,General government spending as a percentage of GDP,percent,annual,low,context,spending definitions,Do not substitute spending for governance quality
CORRUPTION_PERCEPTION_INDEX,politics,Corruption perception index,Perceived level of public sector corruption (lower scores indicate higher corruption),index,annual,low,context,perception vs reality methodology,Do not substitute perception for actual corruption levels
ELECTORAL_TURNOUT,politics,Electoral turnout,Share of eligible population that votes in national elections,percent,annual,low,outcome,electoral system compulsory voting,Do not substitute turnout for political engagement
BUSINESS_REGISTRATION,businesses,Business registration rate,Number of new business registrations per 100,000 population,registrations_per_100000,annual,low,context,registration requirements,Do not substitute registration for business creation
BUSINESS_DENSITY,businesses,Business density,Number of registered businesses per 1,000 population,businesses_per_1000,annual,low,context,sector definitions,Do not substitute business density for economic dynamism
MARKET_CONCENTRATION,businesses,Market concentration,Share of market revenue controlled by the largest firms,percent,annual,low,context,industry definitions,Do not substitute firm count for market concentration
CHARITY_COUNT,charities_interventions,Charity count,Number of registered charities per 100,000 population,charities_per_100000,annual,low,context,registration requirements,Do not substitute charity count for charitable activity
BENEFICIARY_COUNT,charities_interventions,Beneficiary count,Number of direct beneficiaries of charitable interventions per year,count,annual,low,context,definition of beneficiary,Do not substitute beneficiary count for intervention impact
SEARCH_INTEREST,place_engagement,Search interest,Search query volume for place-related topics per 100 population,relative_index,monthly,low,context,platform changes seasonality,Do not substitute search interest for attention or consumption
LOCAL_JOURNALISM_COUNT,place_engagement,Local journalism outlets,Number of local journalism outlets per 100,000 population,outlets,annual,medium,context,definition of journalism outlet,Do not substitute news coverage for local journalism capacity
CIVIC_PARTICIPATION,place_engagement,Civic participation rate,Share of population participating in civic activities (voting, volunteering, community groups),percent,annual,low,context,definition of civic activity,Do not substitute voting for civic participation
